quarter_start__date,quarter_label,transactions_total__LR__count,price_avg__LR__gbp,price_median__LR__gbp,price_min__LR__gbp,price_max__LR__gbp,boe_house_purchase__LPMVTVX__count,boe_remortgage__LPMB4B3__count,boe_total_secured_lending__LPMB3C8__count,boe_mfi_total_approvals__LPMZ3UP__count,mlar_gross_advances__MLAR_1_21_C_1__gbp,mlar_net_advances__MLAR_1_21_C_2__gbp,mlar_new_commitments__MLAR_1_21_C_3__gbp,mlar_imp_repayment__MLAR_1_32_C_3__pct,mlar_imp_interest_only__MLAR_1_32_C_4__pct,mlar_new_house_purchase__MLAR_1_33_C_29__gbp,mlar_new_remortgage__MLAR_1_33_C_30__gbp
2001-04-01,2001Q2,320972,117941.80,89950.00,95.00,24750000.00,106748.6666666666666666666667,60225.3333333333333333333333,232312.0000000000000000000000,222644.3333333333333333333333,,,,,,,
2001-07-01,2001Q3,358376,124059.11,94000.00,100.00,9500000.00,109489.0000000000000000000000,62702.3333333333333333333333,240941.6666666666666666666667,229643.3333333333333333333333,,,,,,,
2001-10-01,2001Q4,329386,119667.22,93000.00,1.00,8640000.00,103064.6666666666666666666667,71084.3333333333333333333333,248545.6666666666666666666667,235991.3333333333333333333333,,,,,,,
2002-01-01,2002Q1,269942,122784.30,95000.00,200.00,7200000.00,123055.0000000000000000000000,77878.3333333333333333333333,279048.6666666666666666666667,268487.3333333333333333333333,,,,,,,
2002-04-01,2002Q2,359298,134069.53,107000.00,200.00,8300000.00,119017.6666666666666666666667,80889.3333333333333333333333,284619.6666666666666666666667,265579.6666666666666666666667,,,,,,,
2002-07-01,2002Q3,381039,145778.67,118000.00,180.00,7600000.00,114374.3333333333333333333333,90991.6666666666666666666667,296113.6666666666666666666667,271421.0000000000000000000000,,,,,,,
2002-10-01,2002Q4,341637,145350.86,120000.00,300.00,7650000.00,117483.3333333333333333333333,107792.6666666666666666666667,330152.0000000000000000000000,299516.3333333333333333333333,,,,,,,
2003-01-01,2003Q1,252459,145599.79,120000.00,200.00,6000000.00,101477.0000000000000000000000,107176.6666666666666666666667,317776.6666666666666666666667,291698.6666666666666666666667,,,,,,,
2003-04-01,2003Q2,288468,149367.20,125000.00,200.00,7625000.00,102346.6666666666666666666667,115456.6666666666666666666667,329600.6666666666666666666667,297254.3333333333333333333333,,,,,,,
2003-07-01,2003Q3,335068,160832.97,133000.00,1100.00,8150000.00,122066.6666666666666666666667,117652.6666666666666666666667,357377.6666666666666666666667,318215.3333333333333333333333,,,,,,,
2003-10-01,2003Q4,359600,163797.75,137500.00,600.00,9250000.00,131138.0000000000000000000000,118935.0000000000000000000000,365439.3333333333333333333333,317364.6666666666666666666667,,,,,,,
2004-01-01,2004Q1,282434,166730.54,139950.00,280.00,92555918.00,125851.6666666666666666666667,105533.6666666666666666666667,336656.6666666666666666666667,296690.0000000000000000000000,,,,,,,
2004-04-01,2004Q2,347465,176143.66,148995.00,595.00,7950000.00,117536.0000000000000000000000,104861.0000000000000000000000,322518.6666666666666666666667,281205.3333333333333333333333,,,,,,,
2004-07-01,2004Q3,340102,188119.73,157500.00,280.00,7500007.00,92894.3333333333333333333333,107685.3333333333333333333333,294060.6666666666666666666667,252539.0000000000000000000000,,,,,,,
2004-10-01,2004Q4,262125,183784.27,155000.00,920.00,7250000.00,81115.0000000000000000000000,94757.3333333333333333333333,255455.0000000000000000000000,218775.6666666666666666666667,,,,,,,
2005-01-01,2005Q1,188770,183298.28,152500.00,1000.00,10500000.00,86534.6666666666666666666667,95188.6666666666666666666667,260699.0000000000000000000000,225763.0000000000000000000000,,,,,,,
2005-04-01,2005Q2,267339,185517.93,155000.00,192.00,7500000.00,95853.0000000000000000000000,96555.6666666666666666666667,272181.6666666666666666666667,230374.0000000000000000000000,,,,,,,
2005-07-01,2005Q3,305677,194490.66,160000.00,2400.00,11250000.00,101812.6666666666666666666667,114078.3333333333333333333333,293262.0000000000000000000000,246727.3333333333333333333333,,,,,,,
2005-10-01,2005Q4,299966,191559.44,160000.00,2600.00,15193950.00,114907.6666666666666666666667,109233.0000000000000000000000,303751.3333333333333333333333,249578.0000000000000000000000,,,,,,,
2006-01-01,2006Q1,263722,192837.28,158000.00,300.00,9500000.00,117105.0000000000000000000000,98871.6666666666666666666667,291092.0000000000000000000000,241192.6666666666666666666667,,,,,,,
